"city","average_num_sold"
"San Bruno","52.6666666666666667"
"Mountain View","16.1651376146788991"
"San Jose","8.5652173913043478"
"Salem","7.5454545454545455"
"New York","6.8953488372093023"
"Chicago","6.1941176470588235"
"Nashville","5.3333333333333333"
"Jersey City","5.2727272727272727"
"Charlotte","4.6467065868263473"
"Sunnyvale","4.0688073394495413"
"Pittsburgh","4.0000000000000000"
"Austin","3.6071428571428571"
"Los Angeles","3.5172413793103448"
"Atlanta","3.2727272727272727"
"Seattle","3.1044776119402985"
"Paris","3.0000000000000000"
"Cambridge","2.6923076923076923"
"Houston","2.5000000000000000"
"Toronto","2.1851851851851852"
"Denver","2.0000000000000000"
"Kirkland","1.9000000000000000"
"Hamburg","1.7142857142857143"
"Hyderabad","1.5000000000000000"
"Milpitas","1.4594594594594595"
"Santa Monica","1.4000000000000000"
"San Francisco","1.2577319587628866"
"Hong Kong","1.2476190476190476"
"Palo Alto","1.1724137931034483"
"London","1.00000000000000000000"
"Madrid","1.00000000000000000000"
"Kitchener","1.00000000000000000000"
"Minato","1.00000000000000000000"
"Montevideo","1.00000000000000000000"
"Jakarta","1.00000000000000000000"
"Munich","1.00000000000000000000"
"Irvine","1.00000000000000000000"
"Helsinki","1.00000000000000000000"
"Osaka","1.00000000000000000000"
"Ahmedabad","1.00000000000000000000"
"Fremont","1.00000000000000000000"
"Phoenix","1.00000000000000000000"
"Dublin","1.00000000000000000000"
"Detroit","1.00000000000000000000"
"Dallas","1.00000000000000000000"
"San Diego","1.00000000000000000000"
"Cupertino","1.00000000000000000000"
"Courbevoie","1.00000000000000000000"
"Santa Clara","1.00000000000000000000"
"Bogota","1.00000000000000000000"
"Santiago","1.00000000000000000000"
"Berlin","1.00000000000000000000"
"Seoul","1.00000000000000000000"
"Singapore","1.00000000000000000000"
"South San Francisco","1.00000000000000000000"
"Stockholm","1.00000000000000000000"
"Bangkok","1.00000000000000000000"
"Sydney","1.00000000000000000000"
"Tel Aviv-Yafo","1.00000000000000000000"
"Ann Arbor","1.00000000000000000000"
"Washington","1.00000000000000000000"
"Yokohama","1.00000000000000000000"
"Zhongli District","1.00000000000000000000"
"Zurich","1.00000000000000000000"
