"city","v2productname","total_units_sold"
"Ahmedabad","Google Youth Short Sleeve T-shirt Royal Blue","2"
"Ann Arbor","Recycled Mouse Pad","74"
"Atlanta","20 oz Stainless Steel Insulated Tumbler","25"
"Austin","YouTube RFID Journal","162"
"Bangkok","26 oz Double Wall Insulated Bottle","3"
"Berlin","Google Doodle Decal","1"
"Bogota","YouTube Men's 3/4 Sleeve Henley","6"
"Cambridge","Galaxy Screen Cleaning Cloth","63"
"Charlotte","Google Lunch Bag","776"
"Chicago","Google Alpine Style Backpack","337"
"Chicago","Google Men's 100% Cotton Short Sleeve Hero Tee White","337"
"Courbevoie","Android Wool Heather Cap Heather/Black","1"
"Cupertino","Nest® Protect Smoke + CO White Wired Alarm-USA","4"
"Dallas","YouTube Leatherette Notebook Combo","3"
"Denver","Google Twill Cap","6"
"Detroit","Google 22 oz Water Bottle","3"
"Dublin","Google Laptop Backpack","2"
"Fremont","Nest® Protect Smoke + CO White Battery Alarm-USA","6"
"Hamburg","22 oz YouTube Bottle Infuser","12"
"Helsinki","Android Onesie Gold","5"
"Hong Kong","Google Device Stand","120"
"Houston","Google Sunglasses","5"
"Hyderabad","Keyboard DOT Sticker","2"
"Irvine","Google Men's Vintage Badge Tee Sage","10"
"Jakarta","Windup Android","1"
"Jersey City","Google Laptop Tech Backpack","58"
"Kirkland","Google Women's Long Sleeve Tee Lavender","50"
"Kitchener","Google 5-Panel Cap","1"
"London","Google Rucksack","5"
"Los Angeles","Basecamp Explorer Powerbank Flashlight","163"
"Madrid","Nest® Protect Smoke + CO White Wired Alarm-USA","1"
"Milpitas","Google Women's Short Sleeve Hero Dark Grey","33"
"Minato","Google 5-Panel Snapback Cap","14"
"Montevideo","Google Vintage Henley Grey/Black","1"
"Mountain View","Waze Baby on Board Window Decal","5807"
"Munich","Google Men's 100% Cotton Short Sleeve Hero Tee Red","2"
"Nashville","Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel","16"
"New York","Collapsible Shopping Bag","1410"
"Osaka","Google Infant Short Sleeve Tee Red","7"
"Palo Alto","Nest® Cam Outdoor Security Camera - USA","13"
"Paris","Google Women's Quilted Insulated Vest Black","14"
"Phoenix","Google Men's Short Sleeve Hero Tee Heather","1"
"Pittsburgh","YouTube Hard Cover Journal","12"
"Salem","Google Men's  Zip Hoodie","246"
"San Bruno","22 oz YouTube Bottle Infuser","1397"
"San Diego","Google Doodle Decal","1"
"San Francisco","Google Women's Scoop Neck Tee White","22"
"San Jose","22 oz Android Bottle","347"
"Santa Clara","Clip-on Compact Charger","5"
"Santa Monica","Google Slim Utility Travel Bag","7"
"Santiago","Sport Bag","2"
"Seattle","Google Luggage Tag","100"
"Seoul","Waze Dress Socks","2"
"Singapore","Google Men's Short Sleeve Performance Badge Tee Navy","1"
"South San Francisco","Google Rucksack","6"
"Stockholm","Android Rise 14 oz Mug","1"
"Sunnyvale","Google Hard Cover Journal","501"
"Sydney","Google Women's Short Sleeve Hero Tee Sky Blue","1"
"Sydney","Google Men's Vintage Tank","1"
"Tel Aviv-Yafo","Google Men's Vintage Tank","1"
"Toronto","Google Men's 3/4 Sleeve Raglan Henley Grey","26"
"Washington","Google Bib White","1"
"Yokohama","Google Rucksack","20"
"Zhongli District","Spiral Notebook and Pen Set","16"
"Zurich","YouTube Men's 3/4 Sleeve Henley","4"
