"country","average_num_sold"
"United States","19.2449215143120960"
"Czechia","15.1818181818181818"
"Mexico","1.8333333333333333"
"Canada","1.5934065934065934"
"Bulgaria","1.5000000000000000"
"Germany","1.2500000000000000"
"Hong Kong","1.2321428571428571"
"Japan","1.1351351351351351"
"India","1.1111111111111111"
"Finland","1.00000000000000000000"
"France","1.00000000000000000000"
"Guatemala","1.00000000000000000000"
"Indonesia","1.00000000000000000000"
"Ireland","1.00000000000000000000"
"Israel","1.00000000000000000000"
"Maldives","1.00000000000000000000"
"Netherlands","1.00000000000000000000"
"Norway","1.00000000000000000000"
"Panama","1.00000000000000000000"
"Portugal","1.00000000000000000000"
"Romania","1.00000000000000000000"
"Russia","1.00000000000000000000"
"Singapore","1.00000000000000000000"
"South Korea","1.00000000000000000000"
"Spain","1.00000000000000000000"
"Sri Lanka","1.00000000000000000000"
"Sweden","1.00000000000000000000"
"Switzerland","1.00000000000000000000"
"Taiwan","1.00000000000000000000"
"Thailand","1.00000000000000000000"
"United Kingdom","1.00000000000000000000"
"Uruguay","1.00000000000000000000"
"Australia","1.00000000000000000000"
"Vietnam","1.00000000000000000000"
"Austria","1.00000000000000000000"
"Belarus","1.00000000000000000000"
"Belgium","1.00000000000000000000"
"Chile","1.00000000000000000000"
"Colombia","1.00000000000000000000"
"Denmark","1.00000000000000000000"
"Dominican Republic","1.00000000000000000000"
"Egypt","1.00000000000000000000"
